Name,NSamples,minBookDepth,p25BookDepth,p50BookDepth,p75BookDepth,p90BookDepth,p99BookDepth,p999BookDepth,p9999BookDepth,maxBookDepth
ACWI,464267,0,0,1,4,8,14,242,2808411,19994200
ACWV,13826,0,0,2,34,80,1350,2019,8266794,9992964
ACWX,206444,0,0,1,3,5,11,335,963,19995651
ACXM,67558,0,0,2,11,15,137,616,11556288,19998144
ACY,238,0,40,148,283,370,17619863,19761239,19975376,19999170
ADAT,624,0,61,1406,2140,2340,2856,15843058,19586599,20002549
ADBE,585044,0,0,2,8,11,37,724,2860,19992956
ADC,7193,0,0,0,5,24,989,1225,1662,1662
ADEP,6755,0,0,0,9,64,480,12495666,19248623,19998952
ADES,33441,0,0,0,9,54,303,7140971,18713287,19999100
ADGE,2622,0,0,0,220,1432,4059,17382477,19742206,20004399
ADHD,6778,0,0,1,10,121,664,10319266,19031409,19999425
ADI,396167,0,0,2,6,9,31,793,2005,19994764
ADK,1057,0,1,9,43,113,154,154,154,154
ADK-A,110,0,0,187,539,795,1043,1043,1043,1043
ADM,294890,0,0,1,4,8,17,394,994,19995232
ADMA,426,0,77,229,309,426,16295673,19628567,19961856,19998889
ADMP,3540,0,0,0,3,48,506,12921322,19291509,19999308
ADMS,9702,0,0,5,15,30,472,3833712,18381819,19998276
ADNC,7972,0,0,2,7,11,121,8614054,18860943,19999487
ADP,528425,0,1,4,10,16,43,932,4059,19991749
ADPT,6248,0,0,4,18,38,921,1067,1208,1208
ADRA,1622,0,0,0,8,144,2362,15943040,19590947,19996270
ADRD,4553,0,0,0,4,48,631,13929280,19390898,19997745
ADRE,14691,0,1,5,46,54,808,3429,17898594,19996407
ADRU,3682,0,0,0,4,9,621,7728863,18770855,19997744
ADS,165749,0,1,11,26,67,312,179393,296446,309452
ADSK,316887,0,0,3,7,11,34,1079,2646,19994586
ADT,224224,0,0,1,5,10,79,333,756,953
ADTN,92122,0,0,2,7,12,107,655,12914062,19997829
ADUS,9493,0,0,2,15,49,638,1018636,18099911,19997831
ADVS,75661,0,0,1,5,20,175,1221,13120730,19995860
ADX,8457,0,0,1,4,6,338,530,543,543
ADXS,19897,0,0,0,3,59,601,12895073,19288626,19999021
ADXSW,3335,0,0,0,31,113,863,12590357,19258486,19999390
ADZ,1141,0,10,109,233,1085,1247,1966,1966,1966
AE,902,0,0,8,410,1102,2735,2735,2735,2735
AEB,236,0,0,0,287,860,4912,4912,4912,4912
AEC,54027,0,0,2,4,7,42,709,989,1530
AED,164,0,1,231,659,702,1420,1420,1420,1420
AEE,319330,0,0,3,7,12,33,756,1060,1817
AEG,37252,0,0,0,1,5,17,499,499,500
AEGN,26645,0,0,1,3,8,404,953,16668897,19998428
AEGR,65338,0,0,1,3,12,167,1547,14318181,19997662
AEH,184,0,0,77,330,599,1417,1417,1417,1417
AEHR,1093,0,0,4,27,72,7858485,18785605,19878317,19999730
AEIS,44968,0,0,2,10,19,265,838,15911092,19997575
AEK,426,0,0,0,0,589,1281,1281,1281,1281
AEL,65214,0,0,1,5,8,42,758,806,945
AEM,513954,0,0,1,4,9,18,239,994,4151
AEO,250287,0,0,1,4,8,14,390,468,198592
AEP,390120,0,0,3,7,11,25,465,1340,19993686
AEPI,12680,0,2,62,357,448,1502,4152860,18410504,19994687
AER,96527,0,0,1,4,10,33,1135,1297,19995975
AERI,15612,0,0,0,7,24,795,2657313,18263315,19997316
AES,249903,0,0,0,3,6,11,97,323,19998768
AES-C,104,0,0,152,828,1417,16529466,19647793,19959625,19994274
AET,264190,0,1,5,12,25,71,1753,1976,3715
